
Mã	
Mua	Bán	
Khối lượng giao dịch ròng	
Giá trị giao dịch ròng	
Room còn lại	
Đang sở hữu	
Khối lượng	
Giá trị	
Khối lượng	
Giá trị	
SMA	0 	0 	0 	0 	0 	0 	9,963,606 	0.05% 
SRC	0 	0 	0 	0 	0 	0 	13,726,434 	0.09% 
SPM	0 	0 	0 	0 	0 	0 	6,451,550 	2.92% 
TNH	0 	0 	0 	0 	0 	0 	 	49.00% 
TRC	0 	0 	0 	0 	0 	0 	14,365,240 	1.12% 
TS4	0 	0 	0 	0 	0 	0 	7,785,697 	0.82% 
TRA	0 	0 	0 	0 	0 	0 	2,560,485 	42.82% 
SGT	0 	0 	0 	0 	0 	0 	26,378,988 	13.35% 
TPC	0 	0 	0 	0 	0 	0 	11,570,086 	1.64% 
NBB	0 	0 	0 	0 	0 	0 	48,263,111 	0.97% 
CSM	0 	0 	0 	0 	0 	0 	49,805,880 	0.94% 
DAT	0 	0 	0 	0 	0 	0 	22,542,167 	0.00% 
HU3	0 	0 	0 	0 	0 	0 	4,432,233 	4.68% 
HU1	0 	0 	0 	0 	0 	0 	4,530,370 	3.70% 
DC4	0 	0 	0 	0 	0 	0 	15,646,206 	0.11% 
DHA	0 	0 	0 	0 	0 	0 	5,508,221 	12.57% 
HTV	0 	0 	0 	0 	0 	0 	4,466,406 	14.92% 
DBT	0 	0 	0 	0 	0 	0 	5,580,515 	9.71% 
CIG	0 	0 	0 	0 	0 	0 	15,446,024 	0.03% 
CLL	0 	0 	0 	0 	0 	0 	14,154,939 	7.37% 
CFPT2016	0 	0 	0 	0 	0 	0 	4,917,470 	 
CHP	0 	0 	0 	0 	0 	0 	66,375,450 	3.82% 
CMV	0 	0 	0 	0 	0 	0 	5,905,254 	0.21% 
HVX	0 	0 	0 	0 	0 	0 	19,237,401 	0.89% 
ILB	0 	0 	0 	0 	0 	0 	 	49.00% 
CLW	0 	0 	0 	0 	0 	0 	5,747,810 	4.79% 
DVP	1,000 	46,140,000 	1,000 	46,115,000 	0 	25,000 	14,376,890 	13.06% 
EMC	0 	0 	0 	0 	0 	0 	7,490,073 	0.04% 
DTT	0 	0 	0 	0 	0 	0 	3,979,994 	0.18% 
HHP	0 	0 	0 	0 	0 	0 	9,476,906 	1.78% 
GTA	0 	0 	0 	0 	0 	0 	5,046,305 	0.48% 
FUCTVGF2	0 	0 	0 	0 	0 	0 	8,085,278 	1.44% 
EVE	0 	0 	0 	0 	0 	0 	13,907,612 	66.87% 
FDC	0 	0 	0 	0 	0 	0 	18,914,530 	0.04% 
DRL	0 	0 	0 	0 	0 	0 	4,554,430 	1.06% 
