MaCK,SanCK,EPS,PE,ROA,ROE,Beta,KhoiLuongLuuHanh,KhoiLuongNiemYet,CoPhieuQuy,NuocNgoaiSoHuu,VonThiTruong,DoanhThu-ttm(Trieu),LNST-ttm,VonCSH,TongNo,TongTaiSan,,,,
BMG,HASTC,2.51,10.6,793%,1409%,-0.17,5292000,5292000,0,0,140238000,220725,0,94371,73402,167773,,,,
BMI,HOSE,2.38,17.1,325%,922%,1.37,91354037,91354037,0,40694445,3722677008,4535674,217728,2360777,4340622,6701399,,,,
BMJ,HASTC,3.60,3.6,1341%,2176%,0.99,6000000,6000000,0,2933900,77399998,68313,1527,99338,61876,161215,,,,
BMN,HASTC,1.60,9.9,507%,1467%,0.26,2750000,2750000,0,1347500,43450001,47578,-127,29798,44559,74357,,,,
BMP,HOSE,6.18,9.1,1741%,2101%,0.91,81259014,81860938,0,22284455,4616957028,4835367,153141,2391761,494636,2886397,,,,
BMS,HASTC,1.81,7.0,1353%,1394%,2.35,50000000,50000000,0,0,634999990,486394,100660,648865,19605,668469,,,,
BMV,HASTC,0.14,42.9,92%,139%,0.73,24200000,24200000,0,0,145200000,638019,0,246293,126875,373168,,,,
BNA,HASTC,6.30,8.7,1240%,3043%,0.46,8000000,8000000,0,0,436000000,938004,40098,165651,240654,406305,,,,
BNW,HASTC,0.92,10.0,553%,820%,-0.18,37549391,37549391,0,0,345454390,197995,0,420721,203558,624279,,,,
BOT,HASTC,-1.92,-25.5,-630%,-2458%,0.46,48500000,48500000,0,0,2371650074,26559,0,378321,1096734,1475055,,,,
BPC,HASTC,1.02,9.3,199%,398%,0.90,3800000,3800000,0,1862000,36100000,253376,0,97434,98050,195484,,,,
BPW,HASTC,0.96,23.4,304%,922%,0.69,13203858,13203858,0,0,297086805,91185,0,136788,277956,414744,,,,
BQB,HASTC,-1.65,-3.1,-1720%,-1962%,1.23,5800000,5800000,0,0,29579999,27374,0,48769,6851,55619,,,,
BRC,HOSE,1791.00,0.0,7%,10%,0.69,12374997,12374997,0,6063748,160256209,299007,0,212175,85089,297264,,,,
BRL-X,HASTC,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,,,,
BRR,HASTC,1005.00,0.0,7%,9%,1.57,112500000,112500000,0,0,1743750000,400445,0,1312306,220482,1532787,,,,
BRS,HASTC,3.26,6.7,1480%,2336%,0.17,4541950,4541950,0,0,99922900,64496,5407,63461,36688,100149,,,,
BSA,HASTC,1.36,10.1,522%,1079%,0.47,60018942,60018942,0,0,828261411,342455,0,759023,808968,1567991,,,,
BSC,HASTC,0.24,60.0,183%,197%,0.49,3150747,3150747,0,1543866,45370756,11069,910,37698,2844,40543,,,,
BSD,HASTC,4.11,8.5,619%,2002%,-0.17,3000000,3000000,0,0,105000000,0,0,61656,137605,199261,,,,
BSG,HASTC,-0.13,-74.6,-120%,-226%,1.20,60000000,60000000,0,0,581999989,444859,0,346976,307268,654244,,,,
BSH,HASTC,1.83,10.7,866%,1241%,0.39,18000000,18000000,0,0,351000000,592013,0,265649,114994,380643,,,,
BSI,HASTC,2.04,10.0,632%,1614%,1.85,122070078,122070078,0,42385000,2490229545,967645,249386,1545337,2400847,3946184,,,,
BSL,HASTC,0.80,10.8,566%,732%,1.00,45000000,45000000,0,0,387000017,705221,0,489920,144137,634057,,,,
BSP,HASTC,1.24,14.7,575%,689%,0.83,12500000,12500000,0,6125000,227500010,376414,0,225434,44709,270143,,,,
BSQ,HASTC,3.12,7.9,1045%,1961%,0.78,45000000,45000000,0,0,1102500000,1210690,0,716213,627975,1344188,,,,
BSR,HASTC,0.45,38.2,236%,422%,2.09,3100499616,3100499616,0,0,53328595761,61018040,1389630,32910836,26026165,58937000,,,,
BST,HASTC,1.60,10.0,1005%,1325%,0.69,1100000,1100000,0,539000,17600000,64245,0,13263,4228,17491,,,,
