<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
000001.SS,20180326,3117.3201,3134.2800,3091.4600,3133.7200,186400,3117.3201,3134.2800,3091.4600,3133.7200,0,0,0
000001.SS,20180323,3172.7700,3188.2400,3110.6599,3152.7600,275500,3172.7700,3188.2400,3110.6599,3152.7600,0,0,0
000001.SS,20180322,3281.2600,3288.8000,3242.7600,3263.4800,150400,3281.2600,3288.8000,3242.7600,3263.4800,0,0,0
000001.SS,20180321,3299.7300,3314.2100,3268.8799,3280.9500,168400,3299.7300,3314.2100,3268.8799,3280.9500,0,0,0
000001.SS,20180320,3257.2200,3292.5701,3252.4299,3290.6399,139900,3257.2200,3292.5701,3252.4299,3290.6399,0,0,0
000001.SS,20180319,3264.9299,3280.5701,3251.0500,3279.2500,138000,3264.9299,3280.5701,3251.0500,3279.2500,0,0,0
000001.SS,20180316,3290.2100,3300.5601,3269.2800,3269.8799,141200,3290.2100,3300.5601,3269.2800,3269.8799,0,0,0
000001.SS,20180315,3277.5100,3297.1001,3273.2000,3291.1101,148600,3277.5100,3297.1001,3273.2000,3291.1101,0,0,0
000001.SS,20180314,3298.6699,3304.9800,3287.3601,3291.3799,157500,3298.6699,3304.9800,3287.3601,3291.3799,0,0,0
000001.SS,20180313,3324.1201,3333.8799,3307.3799,3310.2400,177100,3324.1201,3333.8799,3307.3799,3310.2400,0,0,0
000001.SS,20180312,3319.2100,3333.5601,3313.5500,3326.7000,206500,3319.2100,3333.5601,3313.5500,3326.7000,0,0,0
000001.SS,20180309,3291.4299,3309.7200,3283.5601,3307.1699,168400,3291.4299,3309.7200,3283.5601,3307.1699,0,0,0
000001.SS,20180308,3268.3501,3289.5000,3261.5500,3288.4099,149800,3268.3501,3289.5000,3261.5500,3288.4099,0,0,0
000001.SS,20180307,3288.8601,3308.4099,3264.7600,3271.6699,168700,3288.8601,3308.4099,3264.7600,3271.6699,0,0,0
000001.SS,20180306,3266.4900,3290.2500,3243.6499,3289.6399,195400,3266.4900,3290.2500,3243.6499,3289.6399,0,0,0
000001.SS,20180305,3255.8701,3269.3999,3236.7200,3256.9299,144800,3255.8701,3269.3999,3236.7200,3256.9299,0,0,0
000001.SS,20180302,3248.4500,3269.9399,3242.2700,3254.5300,150900,3248.4500,3269.9399,3242.2700,3254.5300,0,0,0
000001.SS,20180301,3235.0901,3280.1499,3228.5801,3273.7500,159100,3235.0901,3280.1499,3228.5801,3273.7500,0,0,0
000001.SS,20180228,3264.0601,3277.8301,3239.8401,3259.4099,151000,3264.0601,3277.8301,3239.8401,3259.4099,0,0,0
000001.SS,20180227,3328.6699,3328.6699,3284.6299,3292.0701,174200,3328.6699,3328.6699,3284.6299,3292.0701,0,0,0
000001.SS,20180226,3307.2900,3335.9900,3281.6101,3329.5701,188600,3307.2900,3335.9900,3281.6101,3329.5701,0,0,0
000001.SS,20180223,3275.4299,3294.1299,3258.4900,3289.0200,145800,3275.4299,3294.1299,3258.4900,3289.0200,0,0,0
000001.SS,20180222,3237.5701,3269.9199,3234.1101,3268.5601,138700,3237.5701,3269.9199,3234.1101,3268.5601,0,0,0
000001.SS,20180214,3188.2500,3203.5000,3171.3799,3199.1599,100300,3188.2500,3203.5000,3171.3799,3199.1599,0,0,0
000001.SS,20180213,3176.1101,3219.2200,3176.1101,3184.9600,151500,3176.1101,3219.2200,3176.1101,3184.9600,0,0,0
000001.SS,20180212,3128.3701,3168.1299,3113.6001,3154.1201,153300,3128.3701,3168.1299,3113.6001,3154.1201,0,0,0
000001.SS,20180209,3172.8501,3180.1101,3062.7400,3129.8501,256400,3172.8501,3180.1101,3062.7400,3129.8501,0,0,0
000001.SS,20180208,3281.0500,3307.1599,3225.7100,3262.0500,201300,3281.0500,3307.1599,3225.7100,3262.0500,0,0,0
000001.SS,20180207,3412.7400,3425.5400,3304.0100,3309.2600,260900,3412.7400,3425.5400,3304.0100,3309.2600,0,0,0
000001.SS,20180206,3418.0100,3440.1201,3364.2200,3370.6499,280600,3418.0100,3440.1201,3364.2200,3370.6499,0,0,0
000001.SS,20180205,3411.6699,3487.7200,3406.2400,3487.5000,217700,3411.6699,3487.7200,3406.2400,3487.5000,0,0,0
000001.SS,20180202,3419.2300,3463.1599,3388.8601,3462.0801,208100,3419.2300,3463.1599,3388.8601,3462.0801,0,0,0
000001.SS,20180201,3478.6699,3495.0901,3424.4199,3446.9800,260500,3478.6699,3495.0901,3424.4199,3446.9800,0,0,0
000001.SS,20180131,3470.5100,3495.4500,3454.7300,3480.8301,207300,3470.5100,3495.4500,3454.7300,3480.8301,0,0,0
000001.SS,20180130,3511.5000,3523.0500,3484.6599,3488.0100,186400,3511.5000,3523.0500,3484.6599,3488.0100,0,0,0
000001.SS,20180129,3563.6399,3587.0300,3510.2700,3523.0000,236000,3563.6399,3587.0300,3510.2700,3523.0000,0,0,0
000001.SS,20180126,3535.4900,3574.9099,3534.2000,3558.1299,222700,3535.4900,3574.9099,3534.2000,3558.1299,0,0,0
000001.SS,20180125,3555.1699,3571.4800,3528.0300,3548.3101,243400,3555.1699,3571.4800,3528.0300,3548.3101,0,0,0
000001.SS,20180124,3553.4800,3569.4900,3527.1101,3559.4700,253000,3553.4800,3569.4900,3527.1101,3559.4700,0,0,0
000001.SS,20180123,3504.3401,3547.2200,3504.3401,3546.5000,238700,3504.3401,3547.2200,3504.3401,3546.5000,0,0,0
000001.SS,20180122,3476.9900,3503.3899,3475.6699,3501.3601,217500,3476.9900,3503.3899,3475.6699,3501.3601,0,0,0
000001.SS,20180119,3481.6201,3498.4299,3474.2900,3487.8601,247500,3481.6201,3498.4299,3474.2900,3487.8601,0,0,0
000001.SS,20180118,3449.8799,3476.5500,3448.7900,3474.7500,220000,3449.8799,3476.5500,3448.7900,3474.7500,0,0,0
000001.SS,20180117,3438.5801,3465.2100,3430.5100,3444.6699,261000,3438.5801,3465.2100,3430.5100,3444.6699,0,0,0
000001.SS,20180116,3403.4700,3437.5801,3401.9600,3436.5901,211500,3403.4700,3437.5801,3401.9600,3436.5901,0,0,0
000001.SS,20180115,3428.9500,3442.5000,3402.3101,3410.4900,232000,3428.9500,3442.5000,3402.3101,3410.4900,0,0,0
000001.SS,20180112,3423.8799,3435.4199,3417.9800,3428.9399,174100,3423.8799,3435.4199,3417.9800,3428.9399,0,0,0
000001.SS,20180111,3415.5801,3426.4800,3405.6399,3425.3401,173800,3415.5801,3426.4800,3405.6399,3425.3401,0,0,0
000001.SS,20180110,3414.1101,3430.2100,3398.8401,3421.8301,209100,3414.1101,3430.2100,3398.8401,3421.8301,0,0,0
000001.SS,20180109,3406.1101,3417.2300,3403.5901,3413.8999,191500,3406.1101,3417.2300,3403.5901,3413.8999,0,0,0
000001.SS,20180108,3391.5500,3412.7300,3384.5601,3409.4800,236200,3391.5500,3412.7300,3384.5601,3409.4800,0,0,0
000001.SS,20180105,3386.4600,3402.0701,3380.2500,3391.7500,213100,3386.4600,3402.0701,3380.2500,3391.7500,0,0,0
000001.SS,20180104,3371.0000,3392.8301,3365.2900,3385.7100,207000,3371.0000,3392.8301,3365.2900,3385.7100,0,0,0
000001.SS,20180103,3347.7400,3379.9199,3345.2900,3369.1101,213800,3347.7400,3379.9199,3345.2900,3369.1101,0,0,0
000001.SS,20180102,3314.0300,3349.0500,3314.0300,3348.3301,202300,3314.0300,3349.0500,3314.0300,3348.3301,0,0,0
000001.SS,20171229,3295.2500,3308.2300,3292.7700,3307.1699,141600,3295.2500,3308.2300,3292.7700,3307.1699,0,0,0
000001.SS,20171228,3272.2900,3304.1001,3263.7300,3296.3899,175400,3272.2900,3304.1001,3263.7300,3296.3899,0,0,0
000001.SS,20171227,3302.4600,3307.0801,3270.3501,3275.7800,162700,3302.4600,3307.0801,3270.3501,3275.7800,0,0,0
000001.SS,20171226,3277.8401,3307.3000,3274.3301,3306.1201,142400,3277.8401,3307.3000,3274.3301,3306.1201,0,0,0
000001.SS,20171225,3296.2100,3312.3000,3270.4399,3280.8401,142500,3296.2100,3312.3000,3270.4399,3280.8401,0,0,0
000001.SS,20171222,3297.6899,3307.3301,3293.4399,3297.0601,124000,3297.6899,3307.3301,3293.4399,3297.0601,0,0,0
000001.SS,20171221,3281.1201,3309.2200,3267.3999,3300.0601,142100,3281.1201,3309.2200,3267.3999,3300.0601,0,0,0
000001.SS,20171220,3296.7400,3300.2100,3276.1201,3287.6101,137700,3296.7400,3300.2100,3276.1201,3287.6101,0,0,0
000001.SS,20171219,3266.0200,3296.9399,3266.0200,3296.5400,115100,3266.0200,3296.9399,3266.0200,3296.5400,0,0,0
000001.SS,20171218,3268.0300,3280.5400,3254.1799,3267.9199,120700,3268.0300,3280.5400,3254.1799,3267.9199,0,0,0
000001.SS,20171215,3287.5300,3287.5300,3259.3899,3266.1399,130900,3287.5300,3287.5300,3259.3899,3266.1399,0,0,0
000001.SS,20171214,3302.9299,3309.5300,3282.5701,3292.4399,120500,3302.9299,3309.5300,3282.5701,3292.4399,0,0,0
000001.SS,20171213,3278.3999,3304.0100,3273.3201,3303.0400,112000,3278.3999,3304.0100,3273.3201,3303.0400,0,0,0
000001.SS,20171212,3320.3101,3320.3101,3280.3301,3280.8101,124600,3320.3101,3320.3101,3280.3301,3280.8101,0,0,0
000001.SS,20171211,3290.4900,3322.6699,3288.2900,3322.2000,132000,3290.4900,3322.6699,3288.2900,3322.2000,0,0,0
000001.SS,20171208,3264.4800,3297.1299,3258.7600,3289.9900,133200,3264.4800,3297.1299,3258.7600,3289.9900,0,0,0
000001.SS,20171207,3283.2800,3291.2800,3259.1599,3272.0500,132100,3283.2800,3291.2800,3259.1599,3272.0500,0,0,0
000001.SS,20171206,3291.3101,3296.2000,3254.6101,3293.9700,151600,3291.3101,3296.2000,3254.6101,3293.9700,0,0,0
